date keplerian stellar stellar+keplerian GP_variance
9067.03443621 3.38343650 -4.53983574 -1.15639924 3.94726516
9067.14731162 0.22626191 -4.56165216 -4.33539025 3.91431794
9067.26018703 -3.16216867 -4.57920004 -7.74136871 3.87868607
9067.37306244 -3.31863475 -4.59165678 -7.91029152 3.84021644
9067.48593785 -0.08321671 -4.59817770 -4.68139441 3.79880593
9067.59881326 3.23725481 -4.59791256 -1.36065775 3.75441599
9067.71168867 3.24901838 -4.59002153 -1.34100316 3.70708762
9067.82456408 -0.05994923 -4.57369050 -4.63363973 3.65695648
9067.93743949 -3.30764440 -4.54814558 -7.85578997 3.60426764
9068.05031490 -3.17468837 -4.51266675 -7.68735512 3.54938942
9068.16319031 0.20302819 -4.46660050 -4.26357231 3.49282554
9068.27606572 3.37323530 -4.40937142 -1.03613612 3.43522459
9068.38894113 3.09575258 -4.34049261 -1.24474003 3.37738540
9068.50181654 -0.34581260 -4.25957488 -4.60538749 3.32025690
9068.61469195 -3.43393236 -4.16633455 -7.60026692 3.26493024
9068.72756736 -3.01232552 -4.06059987 -7.07292539 3.21262138
9068.84044277 0.48809532 -3.94231584 -3.45422052 3.16464183
9068.95331818 3.48964753 -3.81154745 -0.32189992 3.12235620
9069.06619359 2.92452822 -3.66848129 -0.74395307 3.08712618
9069.17906900 -0.62966991 -3.51342535 -4.14309526 3.06024229
9069.29194441 -3.54029996 -3.34680723 -6.88710719 3.04284765
9069.40481982 -2.83248806 -3.16917056 -6.00165861 3.03586013
9069.51769523 0.77033098 -2.98116991 -2.21083893 3.03990178
9069.63057064 3.58581618 -2.78356419 0.80225200 3.05524467
9069.74344605 2.73633856 -2.57720862 0.15912994 3.08178083
9069.85632146 -0.90987447 -2.36304576 -3.27292024 3.11902060
9069.96919687 -3.62613016 -2.14209541 -5.76822557 3.16611892
